CAMPUS,APPOINTMENT_TITLE,APPOINTING_DEPT,APPT_ANNUAL_FTR,APPT_FTR_BASIS,APPT_FRACTION,AMT_OF_SALARY_PAID_FROM_GENL_FUND
Ann Arbor,CUSTODIAN I,Building Services,38750.4,12-Month,1,38750.4
Ann Arbor,INPATIENT UNIT CLERK,MM UH CVC Clerical Svcs,37142.07,12-Month,0.8,0
Ann Arbor,IT ACAD/ADMIN DIV INTER DIR,MM Quality - Data Management,152841.7,12-Month,1,0
Ann Arbor,CLINICAL ASST PROF,MM PM&R,208290.72,12-Month,0.75,0
Ann Arbor,PROFESSOR,MM Ophthal. & Visual Science,210000,12-Month,1,0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM CW 12W,92123.2,12-Month,0.75,0
Ann Arbor,PROFESSOR,"School of Music,Theatre&Dance",224794,9-Month,1,224794
Ann Arbor,REGISTERED NURSE - LEVEL E,MM UH CVC 6A,120099.2,12-Month,1,0
Ann Arbor,PROFESSOR,Int Med-Cardiology,225000,12-Month,1,0
Ann Arbor,LEO LECTURER IV,Nutritional Sciences,115443.86,12-Month,1,0
Ann Arbor,GENETIC COUNSELOR SR,MM CIF HCM Clinic,97407.16,12-Month,1,0
Ann Arbor,STOCKKEEPER II,MM Mat'l Mgmt-Specialty Stckng,47257.6,12-Month,0.8,0
Ann Arbor,ACCOUNTING CLERK INTERMEDIATE,Shared Services Center - FIN,37000.08,12-Month,1,37000
Ann Arbor,IC PLANNER INTERMEDIATE,MM PAR Management,47264.88,12-Month,0.5,0
Ann Arbor,CLINICAL RESEARCH COORD SENIOR,MM O-CTSU Stdy Coordinatr Clin,71737.44,12-Month,1,0
Ann Arbor,HOUSE OFFICER IV,MM H.O. Radiology DR Core,78740,12-Month,1,0
Ann Arbor,MEDIA SERVICES MANAGER,MM Department of Radiology,112229.25,12-Month,1,0
Ann Arbor,LEO LECTURER I,School of Information,82600,8-Month,0.2,15831.67
Ann Arbor,HOUSE OFFICER VI,MM H.O. Radiology Neurorad Fel,85166,12-Month,1,0
Ann Arbor,TRAINING SPECIALIST INTER,MM Pharmacy Administration,59081.25,12-Month,1,0
Ann Arbor,REGISTERED NURSE - LEVEL A,MM UH CVC 7B,79580.8,12-Month,0.9,0
Ann Arbor,UNIT CUSTODIAN,MM Environmental Svcs - DAYS,40040,12-Month,1,0
Ann Arbor,RESEARCH FELLOW,EECS - ECE Division,56484,12-Month,1,0
Ann Arbor,ADMIN SPECIALIST ASSOC HEALTH,MM Cardiovascular Center Gift,75400,12-Month,1,75400
Ann Arbor,TRANSIT COACH OPERATOR,Transportation Services,56180.8,12-Month,1,0
Ann Arbor,TRANSIT COACH OPERATOR,Transportation Services,56180.8,12-Month,1,0
Ann Arbor,BUSINESS SYSTEMS ANALYST SR,MM HITS ETS InfraSvcs-MiChart,101801.04,12-Month,1,0
Ann Arbor,MEDICAL CODER INPATIENT,MM Rev Cycle (PTO),61201.41,12-Month,1,0
Ann Arbor,REGISTERED NURSE - LEVEL E,MM Txp Living Donation,132142.4,12-Month,1,0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM UH CVC CSR Adult,123448,12-Month,0.9,0
Ann Arbor,NP SURGICAL SPECIALTY,MM Cardiovascular Medicine at,137887,12-Month,1,0
Ann Arbor,TRAINING SPECIALIST INTER,MM Path Specimen Processing,53537.96,12-Month,1,0
Ann Arbor,RESEARCH ADMINISTRATOR SR,MM Rogel Cancer Center,88976.66,12-Month,1,27582.76
Ann Arbor,NURSE ANESTHETIST,MM CW Anesthesia CRNA - Mott,263078.38,12-Month,1,0
Ann Arbor,LEO INTERMITTENT LECTURER,MM DLHS Administration,136290,8-Month,0.25,32652.8
Ann Arbor,ADMIN ASST SR HEALTHCARE,MM PM&R PT/OT ACU Adm Office,52137.45,12-Month,0.5,0
Ann Arbor,CLINICAL ASST PROF,MM Pathology Department,153211.63,12-Month,1,0
Ann Arbor,ADMISSIONS OFFICER INTER,OUA Recruitment Administration,45500,12-Month,1,45500
Ann Arbor,OPERATIONS TOP EXECUTIVE HLTH,MM Operations and Ancill Svcs,258324,12-Month,1,0
Ann Arbor,RESEARCH PROFESSOR,MM Ophthal. & Visual Science,186179.71,12-Month,1,9308.99
Ann Arbor,KITCHEN CLEANER,MI Dining - Administration,41371.2,12-Month,1,0
Ann Arbor,LEO LECTURER III,MARSAL EDUC - Educator Prep,59217.4,8-Month,0.75,42562.48
Ann Arbor,REGISTERED NURSE - LEVEL A,MM UH CVC 4C,79580.8,12-Month,0.9,0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM CW 10E,80849.6,12-Month,0.9,0
Ann Arbor,CLINICAL PROFESSOR,MM Int Med-Cardiology,225000,12-Month,0.25,0
Ann Arbor,PATIENT TRANSPORTER,MM Logistics Patient Transport,40040,12-Month,1,0
Ann Arbor,HOUSE OFFICER IV,MM H.O. Internal Med Nephrol,78740,12-Month,1,0
Ann Arbor,MEDICAL ASSISTANT ASSOCIATE,MM Gold Cancer Center,41115.73,12-Month,1,0
Ann Arbor,STOCKKEEPER II,MM Mat'l Mgmt-Specialty Stckng,47257.6,12-Month,0.8,0
Ann Arbor,PA SURGICAL SPECIALTY,MM Surgery Pre-Op Center,127237,12-Month,1,0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM Post Anes Care Unit - UH,80849.6,12-Month,0.87,0
Ann Arbor,CLINICAL SUBJECTS COORDINATOR,PHARMACY Clinical Pharmacy,57144.1,12-Month,1,0
Ann Arbor,RESEARCH FELLOW,MM Int Med-Hematology/Oncology,57300,12-Month,1,0
Ann Arbor,CUSTODIAN II,Student Life Facilities Centra,41371.2,12-Month,1,0
Ann Arbor,MEDICAL TECHNOLOGIST,MM Microbiol Pathology,65746.98,12-Month,0.8,0
Ann Arbor,FOOD SERVICE ASSOCIATE SUPR,Patient Food Service AH,39889.46,12-Month,0.65,0
Ann Arbor,HOSP COMM OPER I,MM Paging Services,50440,12-Month,0.6,0
Ann Arbor,MKTG COMMUNICATIONS SPECIALIST,Univ. & Development Events,62625,12-Month,1,0
Ann Arbor,CLINICAL ASST PROF,MM Int Med-Infectious Diseases,199125,12-Month,1,0
Ann Arbor,GUEST SERVICES SPECIALIST,DPSS MI MEDICINE GUEST SERVICE,36810.02,12-Month,1,0
Ann Arbor,OPHTHALMIC TECHNICIAN ASSOC,MM KEC Retina,43303,12-Month,1,0
Ann Arbor,CALL CENTER REP INTER,MM ACS Clerical Resource Pool,46165.08,12-Month,1,0
Ann Arbor,HOUSE OFFICER IV,MM H.O. Internal Med Endo Fell,78740,12-Month,1,0
Ann Arbor,ASSOC PROFESSOR,LSA American Culture,115253,9-Month,1,115253
Ann Arbor,CLINICAL INSTRUCTOR,MM Int Med-Hospital Medicine,225000,12-Month,1,0
Ann Arbor,OFFICE ADMIN ASSOC SUPR,ROSS SCH Operations,52527.34,12-Month,1,52527.34
Ann Arbor,REGISTERED NURSE - LEVEL C,MM CW VVWH,123448,12-Month,0.9,0
Ann Arbor,HOUSE OFFICER I,MM H.O. Internal Medicine,70000,12-Month,1,0
Ann Arbor,PROJECT SENIOR MANAGER,MM POM ACO,113016.75,12-Month,1,0
Ann Arbor,COOK I,MI Dining - Administration,40040,12-Month,1,0
Ann Arbor,CLINICAL ASST PROF,MM Int Med-Rheumatology,196591,12-Month,0.8,0
Ann Arbor,CLINICAL ASST PROF,MM Pathology Department,153211.63,12-Month,1,0
Ann Arbor,APP SYS ANALYST/PROGRAMMER LD,eHAIL,102000,12-Month,1,102000
Ann Arbor,ADMIN COORD/PROJECT COORD,School of Nursing,51809.39,12-Month,1,41447.51
Ann Arbor,REGISTERED NURSE - LEVEL C,MM CW 7E,79726.4,12-Month,0.8,0
Ann Arbor,RESEARCH FELLOW,Mechanical Engineering,60250,12-Month,1,0
Ann Arbor,CUSTODIAN II,Student Life Facilities Centra,41371.2,12-Month,1,0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM UH CVC 8C,80849.6,12-Month,0.9,0
Ann Arbor,PATIENT CARE TECH ASSISTANT,MM Oper Rooms - Univ Hospital,32778.98,12-Month,0.6,0
Ann Arbor,SOCIAL WORKER MSW,MM Soc Wrk - Adm & Guest Suprt,71113.23,12-Month,1,0
