CAMPUS,APPOINTMENT_TITLE,APPOINTING_DEPT,APPT_ANNUAL_FTR,APPT_FTR_BASIS,APPT_FRACTION,AMT_OF_SALARY_PAID_FROM_GENL_FUND
Ann Arbor,CUSTODIAN I,Building Services,37627.20,12-Month,1,37627.20
Ann Arbor,INPATIENT UNIT CLERK,MM UH CVC Clerical Svcs,35958.41,12-Month,0.8,0
Ann Arbor,IT ACAD/ADMIN DIV INTER DIR,MM Quality - Data Management,148390.00,12-Month,1,0
Ann Arbor,CLINICAL ASST PROF,MM PM&R,186513.00,12-Month,0.75,0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM CW 12W,83948.80,12-Month,0.75,0
Ann Arbor,HOUSING OFCR/RES LIFE ASSOC,Housing-Desk Operations,36000.12,12-Month,1,0
Ann Arbor,PROFESSOR,"School of Music,Theatre&Dance",222032.00,9-Month,1,222032.00
Ann Arbor,REGISTERED NURSE - LEVEL E,MM UH CVC 6A,103043.20,12-Month,1,0
Ann Arbor,PROFESSOR,Int Med-Cardiology,225000.00,12-Month,1,2067.75
Ann Arbor,LEO LECTURER IV,Nutritional Sciences,104495.36,12-Month,1,52247.68
Ann Arbor,GENETIC COUNSELOR SR,MM CIF HCM Clinic,94295.41,12-Month,1,0
Ann Arbor,PATIENT LIFT/TRANSFER ASSOC,MM Logistics Patient Transport,41537.60,12-Month,1,0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM Oper Rooms - Univ Hospital,75212.80,12-Month,1,0
Ann Arbor,INVENTORY CONTROL CLERK ASSOC,MM PAR Management,39575.01,12-Month,0.5,0
Ann Arbor,CLINICAL RESEARCH COORD SENIOR,MM O-CTSU Stdy Coordinatr Clin,69648.00,12-Month,1,0
Ann Arbor,HOUSE OFFICER III,MM H.O. Radiology DR Core,70671.00,12-Month,1,0
Ann Arbor,MEDIA SERVICES MANAGER,MM Department of Radiology,108770.35,12-Month,1,0
Ann Arbor,LEO INTERMITTENT LECTURER,School of Information,80000.00,8-Month,0.2,15494.72
Ann Arbor,PHARMACY TECHNICIAN SENIOR,MM Pharmacy Administration,52634.54,12-Month,1,0
Ann Arbor,INPATIENT UNIT CLERK,MM Nsg Clin Support Clerical,35958.41,12-Month,0.8,0
Ann Arbor,UNIT CUSTODIAN,MM Environmental Svcs - DAYS,38875.20,12-Month,1,0
Ann Arbor,LEO ADJUNCT LECTURER,COE EECS - ECE Division,51000.00,8-Month,0.3,14816.88
Ann Arbor,RESEARCH FELLOW,COE EECS - ECE Division,54840.00,12-Month,0.7,0
Ann Arbor,RESEARCH AREA SPECIALIST ASSOC,Hlth Behavior & Hlth Ed Dept,47250.00,12-Month,0.75,0
Ann Arbor,ADMIN SPECIALIST ASSOC HEALTH,MM Frankel CVC Administration,73113.93,12-Month,1,0
Ann Arbor,TRANSIT COACH OPERATOR,Transportation Services,54537.60,12-Month,1,0
Ann Arbor,TRANSIT COACH OPERATOR,Transportation Services,54537.60,12-Month,1,0
Ann Arbor,BUSINESS SYSTEMS ANALYST SR,MM HITS ETS InfraSvcs-MiChart,98835.96,12-Month,1,0
Ann Arbor,MEDICAL CODER INPATIENT,MM Rev Cycle (PTO),59418.89,12-Month,1,0
Ann Arbor,RESEARCH FELLOW,Life Sciences Institute-Admin,61992.00,12-Month,1,0
Ann Arbor,REGISTERED NURSE - LEVEL E,MM Txp Living Donation,124654.40,12-Month,1,0
Ann Arbor,REGISTERED NURSE - LEVEL C,MM UH CVC CVC4,116459.20,12-Month,0.9,0
Ann Arbor,NP SURG SUBSPECIALTY TIER 2,MM Cardiovascular Medicine at,109060.00,12-Month,1,0
Ann Arbor,ACADEMIC RECORDS ASST INTER,Law School,45664.32,12-Month,1,45664.32
Ann Arbor,TRAINING SPECIALIST INTER,MM Path Specimen Processing,51727.50,12-Month,1,0
Ann Arbor,RESEARCH ADMINISTRATOR SR,MM Rogel Cancer Center,73833.43,12-Month,1,11075.01
Ann Arbor,NURSE ANESTHETIST,MM CW Anesthesia CRNA - Mott,248187.15,12-Month,1,0
Ann Arbor,LEO ADJUNCT LECTURER,MM DLHS Administration,132000.00,8-Month,0.25,31957.92
Ann Arbor,ADMIN ASST SR HEALTHCARE,MM PM&R PT/OT ACU Adm Office,50618.80,12-Month,0.5,0
Ann Arbor,CLINICAL ASST PROF,MM Pathology Department,146614.00,12-Month,1,0
Ann Arbor,OPERATIONS TOP EXECUTIVE HLTH,MM Operations and Ancill Svcs,250800.00,12-Month,1,0
Ann Arbor,RESEARCH PROFESSOR,MM Ophthal. & Visual Science,180757.00,12-Month,1,9037.85
Ann Arbor,KITCHEN CLEANER,MI Dining - Administration,40164.80,12-Month,1,0
Ann Arbor,LEO LECTURER I,SOE- Teacher Education,55189.08,8-Month,1,53446.24
